scenario,policy,retry,clones,capacity,requests,attempts,reliance_filter,hidden_control,reserve_repair,metric,mean,normal95_low,normal95_high,replicates
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,reservation_failures,0,0.0,0.0,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,retry_attempts,9.72,9.11151612024706,10.328483879752941,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,refuse_actors,11.79,10.955045205118893,12.624954794881106,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,repaired_reliances,3.1,2.9411836712972304,3.25881632870277,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,pending_repairs,0,0.0,0.0,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,unnoticed_affected_reliances,6.18,5.951324848642261,6.4086751513577385,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,full_effort_completed_panels,1.79,1.5450772242918065,2.0349227757081936,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,true_independent_completed_panels,9.28,8.99172455371764,9.568275446282358,100
16,group_first,fixed_panel,100,20.0,12,3,all,False,False,total_hours,28.6314,28.18602091325508,29.076779086744917,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,completed_requests,9.28,8.99172455371764,9.568275446282358,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,unresolved_requests,2.72,2.431724553717642,3.0082754462823584,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,relied_requests,9.28,8.99172455371764,9.568275446282358,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,reservation_failures,0,0.0,0.0,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,retry_attempts,9.72,9.11151612024706,10.328483879752941,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,refuse_actors,11.79,10.955045205118893,12.624954794881106,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,repaired_reliances,3.1,2.9411836712972304,3.25881632870277,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,pending_repairs,0,0.0,0.0,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,unnoticed_affected_reliances,6.18,5.951324848642261,6.4086751513577385,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,full_effort_completed_panels,1.79,1.5450772242918065,2.0349227757081936,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,true_independent_completed_panels,9.28,8.99172455371764,9.568275446282358,100
17,group_first,fixed_panel,100,20.0,12,3,all,False,True,total_hours,28.6314,28.18602091325508,29.076779086744917,100
18,group_first,reroll,1,3.0,12,3,all,False,False,completed_requests,2.09,1.8908672581193917,2.289132741880608,100
18,group_first,reroll,1,3.0,12,3,all,False,False,unresolved_requests,9.91,9.710867258119393,10.109132741880607,100
18,group_first,reroll,1,3.0,12,3,all,False,False,relied_requests,2.09,1.8908672581193917,2.289132741880608,100
18,group_first,reroll,1,3.0,12,3,all,False,False,reservation_failures,28.01,27.590740626072282,28.42925937392772,100
18,group_first,reroll,1,3.0,12,3,all,False,False,retry_attempts,20.86,20.43201566346041,21.287984336539587,100
18,group_first,reroll,1,3.0,12,3,all,False,False,refuse_actors,2.54,2.2459406120587824,2.8340593879412177,100
18,group_first,reroll,1,3.0,12,3,all,False,False,repaired_reliances,0,0.0,0.0,100
18,group_first,reroll,1,3.0,12,3,all,False,False,pending_repairs,2,1.8069925421444062,2.1930074578555936,100
18,group_first,reroll,1,3.0,12,3,all,False,False,unnoticed_affected_reliances,0.09,0.027118112964290605,0.15288188703570937,100
18,group_first,reroll,1,3.0,12,3,all,False,False,full_effort_completed_panels,0.95,0.8042426258427653,1.0957573741572346,100
18,group_first,reroll,1,3.0,12,3,all,False,False,true_independent_completed_panels,2.09,1.8908672581193917,2.289132741880608,100
18,group_first,reroll,1,3.0,12,3,all,False,False,total_hours,8.0607,7.963558935894675,8.157841064105327,100
19,group_first,reroll,1,3.0,12,3,all,False,True,completed_requests,1.44,1.2816240810060704,1.5983759189939295,100
19,group_first,reroll,1,3.0,12,3,all,False,True,unresolved_requests,10.56,10.401624081006071,10.71837591899393,100
19,group_first,reroll,1,3.0,12,3,all,False,True,relied_requests,1.44,1.2816240810060704,1.5983759189939295,100
