groups,beta,chi,exploration,initial,local_eigenvalue,max_share,hhi,residual_inf
2,3,1,0.3,near_uniform,0.04999999999999982,0.6297469140909486,0.5336685234322474,8.70412064646331e-09
2,3,1,0.3,concentrated,0.04999999999999982,0.6297470064090372,0.5336685713442129,9.022227409616335e-13
2,4,1,0.3,near_uniform,0.3999999999999999,0.785084985924369,0.6625468983989938,3.9968028886505635e-15
2,4,1,0.3,concentrated,0.3999999999999999,0.78508498592438,0.6625468983990088,3.1086244689504383e-15
2,6,1,0.3,near_uniform,1.0999999999999996,0.8380973355636,0.7286196166304095,4.773959005888173e-15
2,6,1,0.3,concentrated,1.0999999999999996,0.8380973355636054,0.7286196166304182,8.604228440844963e-16
2,8,1,0.3,near_uniform,1.7999999999999998,0.8473079585455033,0.7412456361380895,2.220446049250313e-15
2,8,1,0.3,concentrated,1.7999999999999998,0.8473079585455088,0.7412456361380984,3.1086244689504383e-15
2,12,1,0.3,near_uniform,3.1999999999999993,0.8498420306253273,0.7447788927841029,6.106226635438361e-15
2,12,1,0.3,concentrated,3.1999999999999993,0.8498420306253383,0.7447788927841212,4.773959005888173e-15
2,20,1,0.3,near_uniform,6.0,0.8499994179168268,0.7449991850842349,1.1102230246251565e-15
2,20,1,0.3,concentrated,6.0,0.8499994179168322,0.7449991850842438,4.3298697960381105e-15
4,1,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,1,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,2,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,2,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,3,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,3,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,4,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,4,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,6,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,6,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,8,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,8,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,12,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,12,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,20,0,0,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,20,0,0,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,1,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,1,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,2,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,2,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,3,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,3,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,4,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,4,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,6,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,6,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,8,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,8,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,12,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,12,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,20,0,0.1,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,20,0,0.1,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,1,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,1,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,2,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,2,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,3,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,3,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,4,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,4,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,6,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,6,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,8,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,8,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,12,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,12,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,20,0,0.3,near_uniform,-1.0,0.25000000000000067,0.25,6.661338147750939e-16
4,20,0,0.3,concentrated,-1.0,0.25000000000000067,0.24999999999999933,6.661338147750939e-16
4,1,0.5,0,near_uniform,-0.875,0.25000000000000205,0.25,1.7763568394002505e-15
4,1,0.5,0,concentrated,-0.875,0.25000000000000205,0.25,1.7763568394002505e-15
4,2,0.5,0,near_uniform,-0.75,0.25000000000000205,0.25,1.5543122344752192e-15
4,2,0.5,0,concentrated,-0.75,0.25000000000000205,0.25,1.5543122344752192e-15
4,3,0.5,0,near_uniform,-0.625,0.25000000000000205,0.24999999999999933,1.3877787807814457e-15
4,3,0.5,0,concentrated,-0.625,0.25000000000000344,0.24999999999999864,1.8318679906315083e-15
4,4,0.5,0,near_uniform,-0.5,0.25000000000000344,0.24999999999999864,1.3877787807814457e-15
4,4,0.5,0,concentrated,-0.5,0.25000000000000344,0.24999999999999864,1.3877787807814457e-15
4,6,0.5,0,near_uniform,-0.25,0.2500000000000076,0.24999999999999864,1.3877787807814457e-15
4,6,0.5,0,concentrated,-0.25,0.2500000000000076,0.24999999999999864,1.3877787807814457e-15
4,8,0.5,0,near_uniform,0.0,0.2513871622277773,0.2500028109055972,2.440968892514217e-06
