regime,seed,policy,offered,completed,completion_coverage,correct_checks_per_offer,defect_detection_fraction,accuracy_among_completed,attention_hhi,largest_attention_share,minimum_group_coverage,unresolved_offers,repair_backlog,labor,mean_queue_age,coverage_0,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,count_correct_checks,count_incorrect_checks,count_defects_offered,count_defects_detected,count_false_alarms,count_audit_detected_defects,count_audited,count_repair_completed,count_audit_missed_capacity,count_refused_capacity,count_invitations,count_checks,count_intake_labor,count_check_labor,count_audit_labor,count_repair_labor,count_blind_periods
default,3,bounded,388,385,0.9922680412371134,0.8994845360824743,0.9076923076923077,0.9064935064935065,0.23045370214201383,0.38181818181818183,0.98,3,20,6550,1.0,0.98,1.0,1.0,1.0,1.0,1.0,349,36,65,52,23,7,86,62,19,141,515,385,1030,3850,430,1240,6
default,3,uniform,388,386,0.9948453608247423,0.8762886597938144,0.9076923076923077,0.8808290155440415,0.23124110714381593,0.38341968911917096,0.9866666666666667,2,20,6848,1.0,0.9866666666666667,1.0,1.0,1.0,1.0,1.0,340,46,65,53,34,6,86,73,21,179,549,386,1098,3860,430,1460,6
default,4,prestige,349,349,1.0,0.9226361031518625,0.9,0.9226361031518625,0.2422229702547598,0.40114613180515757,1.0,0,17,5763,0,1.0,1.0,1.0,1.0,1.0,1.0,322,27,50,42,19,3,103,47,16,60,409,349,818,3490,515,940,1
default,4,bounded,349,349,1.0,0.9169054441260746,0.9,0.9169054441260746,0.2422229702547598,0.40114613180515757,1.0,0,15,5950,0,1.0,1.0,1.0,1.0,1.0,1.0,320,29,50,42,21,3,108,51,12,103,450,349,900,3490,540,1020,1
default,4,uniform,349,348,0.997134670487106,0.9255014326647565,0.88,0.9281609195402298,0.2431133571145462,0.40229885057471265,0.967741935483871,1,16,5785,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,323,25,50,44,19,0,107,47,21,67,415,348,830,3480,535,940,1
default,5,prestige,371,370,0.9973045822102425,0.9245283018867925,0.9076923076923077,0.927027027027027,0.22214755295836378,0.36486486486486486,0.9767441860465116,1,16,6316,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,343,27,65,57,20,2,76,63,19,118,488,370,976,3700,380,1260,5
default,5,bounded,371,368,0.9919137466307277,0.889487870619946,0.9076923076923077,0.8967391304347826,0.22185137051039702,0.36684782608695654,0.961038961038961,3,24,6407,1.3333333333333333,1.0,0.961038961038961,1.0,1.0,1.0,1.0,330,38,65,57,30,2,89,65,16,130,491,368,982,3680,445,1300,5
default,5,uniform,371,369,0.9946091644204852,0.9056603773584906,0.9230769230769231,0.9105691056910569,0.22004098089761384,0.3604336043360434,0.9851851851851852,2,24,6410,2.0,0.9851851851851852,1.0,1.0,1.0,1.0,1.0,336,33,65,60,29,0,92,65,18,120,480,369,960,3690,460,1300,5
default,6,prestige,353,351,0.9943342776203966,0.9206798866855525,0.864406779661017,0.9259259259259259,0.2555417569662584,0.42450142450142453,0.972972972972973,2,17,5808,1.0,0.9933333333333333,1.0,1.0,1.0,0.972972972972973,1.0,325,26,59,48,15,3,96,49,22,69,419,351,838,3510,480,980,5
default,6,bounded,353,351,0.9943342776203966,0.9121813031161473,0.9152542372881356,0.9173789173789174,0.25567162604199645,0.42450142450142453,0.9655172413793104,2,19,5946,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9655172413793104,322,29,59,53,23,1,80,58,18,93,438,351,876,3510,400,1160,5
default,6,uniform,353,352,0.9971671388101983,0.9178470254957507,0.9152542372881356,0.9204545454545454,0.2566341683884298,0.42613636363636365,0.9655172413793104,1,24,5973,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,324,28,59,52,21,2,99,51,18,128,469,352,938,3520,495,1020,5
default,7,prestige,364,364,1.0,0.8928571428571429,0.8769230769230769,0.8928571428571429,0.24219599082236448,0.4065934065934066,1.0,0,24,6374,0,1.0,1.0,1.0,1.0,1.0,1.0,325,39,65,57,31,0,82,64,14,163,522,364,1044,3640,410,1280,2
default,7,bounded,364,364,1.0,0.8983516483516484,0.8769230769230769,0.8983516483516484,0.24219599082236448,0.4065934065934066,1.0,0,20,6397,0,1.0,1.0,1.0,1.0,1.0,1.0,327,37,65,55,27,2,83,64,13,184,531,364,1062,3640,415,1280,2
default,7,uniform,364,363,0.9972527472527473,0.9010989010989011,0.9076923076923077,0.9035812672176309,0.24129347570369358,0.4049586776859504,0.9932432432432432,1,19,6469,1.0,0.9932432432432432,1.0,1.0,1.0,1.0,1.0,328,35,65,56,27,3,89,67,15,180,527,363,1054,3630,445,1340,2
default,8,prestige,353,352,0.9971671388101983,0.9121813031161473,0.9038461538461539,0.9147727272727273,0.2533412964876033,0.42329545454545453,0.9933333333333333,1,16,5958,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,322,30,52,46,24,1,94,55,20,83,434,352,868,3520,470,1100,7
default,8,bounded,353,351,0.9943342776203966,0.9008498583569405,0.8076923076923077,0.905982905982906,0.2542105989399437,0.42450142450142453,0.9722222222222222,2,11,6024,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9722222222222222,318,33,52,41,22,1,102,53,15,121,472,351,944,3510,510,1060,7
default,8,uniform,353,350,0.9915014164305949,0.8838526912181303,0.8076923076923077,0.8914285714285715,0.2532408163265306,0.4228571428571429,0.9722222222222222,3,13,5953,1.0,0.9866666666666667,1.0,1.0,1.0,1.0,0.9722222222222222,312,38,52,38,24,4,97,53,22,104,454,350,908,3500,485,1060,7
overload,1,prestige,686,511,0.7448979591836735,0.6618075801749271,0.6153846153846154,0.8884540117416829,0.30606883398884044,0.49510763209393344,0.5285714285714286,175,31,10380,14.651428571428571,0.9267399267399268,0.697841726618705,0.5909090909090909,0.5285714285714286,0.6417910447761194,0.5915492957746479,454,57,117,68,40,4,118,81,41,7339,1530,511,3060,5110,590,1620,5
overload,1,bounded,686,505,0.7361516034985423,0.6618075801749271,0.6239316239316239,0.899009900990099,0.2001803744730909,0.3089108910891089,0.5714285714285714,181,18,10420,15.027624309392266,0.5714285714285714,0.7985611510791367,0.9393939393939394,1.0,0.8507462686567164,0.6901408450704225,454,51,117,71,39,2,104,94,41,8076,1485,505,2970,5050,520,1880,5
