scenario,hours,seed,policy,true_avoided_loss,paired_gain_vs_uniform,regret_vs_latent_oracle,lots_at_least_quarter_hour,underserved_hours,irreducible_floor
noise_20,20,3,reserve_20,16.512540291150582,-2.6826775885970378,16.174768647960835,15,9.948563088115133,11.241554387699207
noise_20,20,3,latent_oracle,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
noise_20,80,3,uniform,54.33990379521682,0.0,11.091865841592814,80,20.0,11.241554387699207
noise_20,80,3,estimated_waterfill,32.20038232632068,-22.13952146889614,33.231387310488955,32,17.922588273940825,11.241554387699207
noise_20,80,3,reserve_20,40.821913088463944,-13.517990706752876,24.60985654834569,43,26.122762952419993,11.241554387699207
noise_20,80,3,latent_oracle,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
biased_underserved,20,3,uniform,19.19521787974762,0.0,13.492091059363798,80,5.0,11.241554387699207
biased_underserved,20,3,estimated_waterfill,25.30436145486567,6.1091435751180505,7.382947484245747,22,0.3045708563918737,11.241554387699207
biased_underserved,20,3,reserve_20,26.034798618807486,6.8395807390598655,6.652510320303932,21,4.000000000000001,11.241554387699207
biased_underserved,20,3,latent_oracle,32.68730893911142,13.492091059363798,0.0,24,7.9774065255758835,11.241554387699207
biased_underserved,80,3,uniform,54.33990379521682,0.0,11.091865841592814,80,20.0,11.241554387699207
biased_underserved,80,3,estimated_waterfill,55.178477500764274,0.8385737055474536,10.25329213604536,51,3.145652816869068,11.241554387699207
biased_underserved,80,3,reserve_20,61.3812047860965,7.041300990879677,4.050564850713137,66,17.094244720856427,11.241554387699207
biased_underserved,80,3,latent_oracle,65.43176963680963,11.091865841592814,0.0,60,27.75633335277038,11.241554387699207
blindspot_ignored,20,3,uniform,13.916821042287898,0.0,9.91681621988407,80,5.0,39.650295292705444
blindspot_ignored,20,3,estimated_waterfill,20.552582849177597,6.635761806889699,3.281054412994372,24,7.9774065255758835,39.650295292705444
blindspot_ignored,20,3,reserve_20,19.205987273303705,5.289166231015807,4.627649988868264,22,9.516296668116041,39.650295292705444
blindspot_ignored,20,3,latent_oracle,23.83363726217197,9.91681621988407,0.0,22,1.0257352965192938,39.650295292705444
blindspot_ignored,80,3,uniform,39.33856959549213,0.0,9.075835164094578,80,20.0,39.650295292705444
blindspot_ignored,80,3,estimated_waterfill,44.81054124858309,5.471971653090961,3.603863511003617,60,27.75633335277038,39.650295292705444
blindspot_ignored,80,3,reserve_20,43.95750075362903,4.6189311581368955,4.456904005957682,63,30.470882535387247,39.650295292705444
blindspot_ignored,80,3,latent_oracle,48.41440475958671,9.075835164094578,0.0,53,5.828865990244345,39.650295292705444
known,20,4,uniform,21.73550268339812,0.0,20.687901541102224,80,5.0,10.964413343507701
known,20,4,estimated_waterfill,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
known,20,4,reserve_20,41.24129091667949,19.50578823328137,1.182113307820856,19,8.104786489687474,10.964413343507701
known,20,4,latent_oracle,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
known,80,4,uniform,58.989162981738126,0.0,12.679878925137437,80,20.0,10.964413343507701
known,80,4,estimated_waterfill,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
known,80,4,reserve_20,71.20677192465314,12.217608942915014,0.46226998222242344,60,24.40704679639534,10.964413343507701
known,80,4,latent_oracle,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
noise_05,20,4,uniform,21.73550268339812,0.0,20.687901541102224,80,5.0,10.964413343507701
noise_05,20,4,estimated_waterfill,38.57647194184324,16.840969258445117,3.8469322826571073,18,6.420807524568362,10.964413343507701
noise_05,20,4,reserve_20,37.77390117022112,16.038398486823002,4.649503054279222,16,8.314657239274334,10.964413343507701
noise_05,20,4,latent_oracle,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
noise_05,80,4,uniform,58.989162981738126,0.0,12.679878925137437,80,20.0,10.964413343507701
noise_05,80,4,estimated_waterfill,68.82385172960839,9.834688747870267,2.8451901772671704,58,21.707004818248997,10.964413343507701
noise_05,80,4,reserve_20,68.64701651857249,9.65785353683436,3.022025388303078,62,25.23916957949304,10.964413343507701
noise_05,80,4,latent_oracle,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
noise_10,20,4,uniform,21.73550268339812,0.0,20.687901541102224,80,5.0,10.964413343507701
noise_10,20,4,estimated_waterfill,35.36071916806423,13.625216484666108,7.062685056436116,18,7.179585737775972,10.964413343507701
noise_10,20,4,reserve_20,34.80142888697243,13.06592620357431,7.621975337527914,16,8.87734616752529,10.964413343507701
noise_10,20,4,latent_oracle,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
noise_10,80,4,uniform,58.989162981738126,0.0,12.679878925137437,80,20.0,10.964413343507701
noise_10,80,4,estimated_waterfill,61.25785425936954,2.2686912776314117,10.411187647506026,51,24.848227072257373,10.964413343507701
noise_10,80,4,reserve_20,62.03063286207764,3.0414698803395126,9.638409044797925,58,29.510044290771283,10.964413343507701
noise_10,80,4,latent_oracle,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
noise_20,20,4,uniform,21.73550268339812,0.0,20.687901541102224,80,5.0,10.964413343507701
noise_20,20,4,estimated_waterfill,23.30520435728395,1.569701673885831,19.118199867216394,14,10.637982599578361,10.964413343507701
noise_20,20,4,reserve_20,22.97510930489766,1.23960662149954,19.448294919602684,11,11.506783414290743,10.964413343507701
noise_20,20,4,latent_oracle,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
noise_20,80,4,uniform,58.989162981738126,0.0,12.679878925137437,80,20.0,10.964413343507701
noise_20,80,4,estimated_waterfill,49.26223343373659,-9.726929548001536,22.406808473138973,36,37.94434154301761,10.964413343507701
noise_20,80,4,reserve_20,51.034378146217676,-7.954784835520449,20.634663760657887,43,43.38907214115137,10.964413343507701
noise_20,80,4,latent_oracle,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
biased_underserved,20,4,uniform,21.73550268339812,0.0,20.687901541102224,80,5.0,10.964413343507701
biased_underserved,20,4,estimated_waterfill,39.280631836573406,17.545129153175285,3.1427723879269394,24,1.9429186304673138,10.964413343507701
biased_underserved,20,4,reserve_20,37.755312539392044,16.019809855993923,4.668091685108301,19,5.229865997807907,10.964413343507701
biased_underserved,20,4,latent_oracle,42.423404224500345,20.687901541102224,0.0,23,5.738738625929855,10.964413343507701
biased_underserved,80,4,uniform,58.989162981738126,0.0,12.679878925137437,80,20.0,10.964413343507701
biased_underserved,80,4,estimated_waterfill,67.03481115919303,8.0456481774549,4.634230747682537,47,5.468358412432635,10.964413343507701
biased_underserved,80,4,reserve_20,70.57625178153938,11.587088799801258,1.0927901253361796,62,19.16861920181039,10.964413343507701
biased_underserved,80,4,latent_oracle,71.66904190687556,12.679878925137437,0.0,58,21.011753438157218,10.964413343507701
blindspot_ignored,20,4,uniform,14.483478927308449,0.0,12.429303540125348,80,5.0,38.79711242462636
blindspot_ignored,20,4,estimated_waterfill,25.22093486338571,10.737455936077263,1.6918476040480854,23,5.738738625929858,38.79711242462636
blindspot_ignored,20,4,reserve_20,23.30176300831726,8.81828408100881,3.6110194591165374,19,8.104786489687474,38.79711242462636
blindspot_ignored,20,4,latent_oracle,26.912782467433797,12.429303540125348,0.0,24,2.090383012634417,38.79711242462636
blindspot_ignored,80,4,uniform,40.362638182524925,0.0,10.70058101724971,80,20.0,38.79711242462636
blindspot_ignored,80,4,estimated_waterfill,48.843074139176274,8.480435956651348,2.2201450605983624,58,21.011753438157218,38.79711242462636
blindspot_ignored,80,4,reserve_20,47.95491462638568,7.592276443860754,3.1083045733889563,60,24.40704679639534,38.79711242462636
blindspot_ignored,80,4,latent_oracle,51.063219199774636,10.70058101724971,0.0,50,5.158407646521035,38.79711242462636
known,20,5,uniform,31.91260970954537,0.0,56.17019456153866,80,5.0,18.696533093574864
known,20,5,estimated_waterfill,88.08280427108403,56.17019456153866,0.0,18,7.889089531151809,18.696533093574864
known,20,5,reserve_20,85.73574942485106,53.82313971530569,2.3470548462329646,15,9.60256077593478,18.696533093574864
known,20,5,latent_oracle,88.08280427108403,56.17019456153866,0.0,18,7.889089531151809,18.696533093574864
known,80,5,uniform,92.37649525231227,0.0,37.18957197840017,80,20.0,18.696533093574864
